Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,LT.NS,LT.NS,LT.NS,LT.NS,LT.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
2025-01-23,1263.6500244140625,1277.3499755859375,1261.5999755859375,1270.0,8720682.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-24,1246.300048828125,1273.0,1243.5,1266.0,14235970.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-27,1229.3499755859375,1240.449951171875,1220.0,1239.0999755859375,9536019.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,1234.4000244140625,1244.75,1218.5,1238.0,10568025.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-29,1235.5,1242.75,1228.050048828125,1236.0,5928156.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-30,1253.050048828125,1257.0,1232.4000244140625,1235.550048828125,9269259.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,1265.0999755859375,1267.0,1249.0,1255.8499755859375,6584612.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01,1264.5999755859375,1270.550048828125,1241.0,1265.0999755859375,7118453.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-03,1245.9000244140625,1256.0,1237.550048828125,1251.0,9252345.0,RELIANCE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
